Set1	List
gevaarlijk	1
heel	1
boot	1
warm	1
oorlog	1
koud	1
vrouw	1
bier	1
auto	1
veel	1
roddel	1
ik	1
bal	1
baby	1
snel	1
lekker	1
zon	1
groot	1
koning	1
einde	1
samen	2
voet	2
goed	2
schaken	2
iedereen	2
meisje	2
nat	2
geld	2
woord	2
huis	2
eten	2
getal	2
pijn	2
winkel	2
man	2
foto	2
angst	2
vakantie	2
zee	2
vliegtuig	2
keurig	1
pedicure	1
prijzig	1
panda	1
veger	1
blanco	1
filter	1
geeuw	1
salami	1
pest	1
koprol	1
klont	1
komedie	1
uitkijk	1
lanceren	1
vlok	1
kassei	1
droogte	1
likeur	1
pek	1
goor	2
tragedie	2
splinter	2
lasso	2
wekken	2
takel	2
oktober	2
vocaal	2
monding	2
debuut	2
concert	2
kluit	2
kruimel	2
toxisch	2
ratel	2
rumoer	2
scheel	2
selectie	2
refrein	2
dok	2
dronken	1
normaal	1
slapen	1
lang	1
uniek	1
boog	1
al	1
mist	1
wijze	1
gezwel	1
stuk	1
jungle	1
zenuwachtig	1
correct	1
kalm	1
fier	1
kwaad	1
vertaler	1
toveren	1
boven	1
water	2
opinie	2
antwoord	2
schaap	2
jeuk	2
oom	2
toe	2
vaak	2
donder	2
jammer	2
serieus	2
non	2
schaar	2
ieder	2
anti	2
huwelijk	2
begrijpen	2
boek	2
gek	2
verdriet	2
